X,Y
100000000.0,0.39414593802084175
109749876.54930545,0.34890594616721904
120450354.02587835,0.3088292327900976
132194114.84660287,0.2733273715332718
145082877.84959373,0.2418789755709431
159228279.3341094,0.2140220605731374
174752840.0007683,0.18934727766158266
191791026.16724926,0.16749191724968368
210490414.45120218,0.14813459595005207
231012970.0083158,0.13099054873667418
253536449.39701167,0.1158074574129439
278255940.2207126,0.10236175429106467
305385550.88334125,0.09045534694789414
335160265.09388477,0.07991271608905885
367837977.1828634,0.07057834401737369
403701725.85965496,0.06231443604334581
443062145.75838864,0.05499890146571525
486260158.00653535,0.04852356455138644
533669923.12063015,0.04279257931244948
585702081.8056673,0.037721024862595987
642807311.7284319,0.033233660779792965
705480231.071863,0.029263824245349308
774263682.6811278,0.0257524528058062
849753435.9086438,0.022647218443801444
932603346.883218,0.019901760274166964
1023531021.8990269,0.017475004625893197
1123324032.9780266,0.015330562550385568
1232846739.4420683,0.013436195930415454
1353047774.5798075,0.011763344368950022
1484968262.2544634,0.010286705927355467
1629750834.6206467,0.008983865571387677
1788649529.057435,0.007834965882477207
1963040650.0402684,0.00682241521136687
2154434690.0318866,0.005930629000281629
2364489412.645407,0.005145800486588205
2595024211.3997426,0.004455697432525258
2848035868.435805,0.0038494819084348587
3125715849.6882353,0.003317550496671784
3430469286.314926,0.002851392585058897
3764935806.7924714,0.002443464686870924
4132012400.1153345,0.0020870789628510715
4534878508.128592,0.0017763043332212575
4977023564.332114,0.0015058787571475506
5462277217.684337,0.0012711314263920191
5994842503.189421,0.0010679137712710535
6579332246.575683,0.0008925383125339385
7220809018.385456,0.0007417245139961499
7924828983.539186,0.0006125508989570016
8697490026.177834,0.0005024127894661628
9545484566.618328,0.00040898511185817545
10476157527.896662,0.00033018978475112047
11497569953.977356,0.00026416726666790514
12618568830.660185,0.00020925188909043984
13848863713.938745,0.00016395063647992858
15199110829.529331,0.00012692505706282382
16681005372.000557,9.697599684692101e-05
18307382802.953697,7.303084499829792e-05
20092330025.65046,5.413296313457845e-05
22051307399.03041,3.943294756935098e-05
24201282647.943832,2.8181347170012268e-05
26560877829.46684,1.9722437156507695e-05
29150530628.251816,1.3488639143859847e-05
31992671377.973846,8.99518872069864e-06
35111917342.15142,5.834691466066868e-06
38535285937.105354,3.6712810641202937e-06
42292428743.89499,2.234198433037488e-06
46415888336.127914,1.3107410943193848e-06
50941380148.16386,7.386727039742381e-07
55908101825.12222,3.983133078483711e-07
61359072734.13188,2.0462886973824967e-07
67341506577.508286,9.968454990086889e-08
73907220335.25775,4.58096817098528e-08
81113083078.96889,1.9746284004697676e-08
89021508544.50392,7.934171295857676e-09
97700995729.92247,2.9514197623458787e-09
107226722201.03253,1.0088083868927895e-09
117681195243.49991,3.142327428570807e-10
129154966501.48827,8.839478205388867e-11
141747416292.68076,2.2234032238448966e-11
155567614393.0472,4.946401909324796e-12
170735264747.06888,9.617040907498664e-13
187381742286.0387,1.6127567825778394e-13
205651230834.86514,2.299375068482907e-14
225701971963.3917,2.743417739619733e-15
247707635599.1714,2.691986398689199e-16
271858824273.294,2.1314483419439305e-17
298364724028.33344,1.3335612234145488e-18
327454916287.7732,6.443423975108566e-20
359381366380.4626,2.344462799384212e-21
394420605943.7664,6.248607621841539e-23
432876128108.30615,1.1834662962005791e-24
475081016210.2793,1.540620386705233e-26
521400828799.96954,1.3290046084900138e-28
572236765935.022,7.29834747593823e-31
628029144183.4272,2.4415582122224535e-33
689261210434.971,4.7409675407763514e-36
756463327554.629,5.0674662586976086e-39
830217568131.9769,2.8129346525710456e-42
911162756115.4906,7.607282474953269e-46
1000000000000.0,9.344408368351493e-50
